vegetation_coverage,excess_green_mean,excess_green_std,texture_variation,component_density,row_alignment,weed_present
0.229,0.2086,0.1108,0.094,2.584,0.6037,0
0.4228,0.2584,0.1445,0.2221,6.5901,0.4787,1
0.4697,0.1607,0.1807,0.2142,5.976,0.2617,1
0.4024,0.1553,0.1262,0.2365,5.3827,0.4044,0
0.3926,0.1638,0.1095,0.1351,4.1461,0.5044,1
0.3763,0.1779,0.1202,0.1606,5.6977,0.5008,1
0.3074,0.1712,0.1117,0.2254,6.2792,0.4146,1
0.466,0.1144,0.1495,0.162,5.0119,0.2657,1
0.3042,0.1963,0.1032,0.1089,6.107,0.4704,1
0.4481,0.1224,0.1551,0.1505,5.0411,0.1631,1
0.3881,0.151,0.1275,0.1664,4.7179,0.636,0
0.4332,0.1814,0.1595,0.1193,4.47,0.5076,1
0.2784,0.1549,0.0764,0.1461,4.354,0.5338,0
0.3988,0.2086,0.1609,0.169,7.4376,0.3172,1
0.2491,0.2195,0.066,0.1679,3.3624,0.6845,0
0.385,0.0799,0.1154,0.2142,5.4979,0.2725,1
0.2605,0.2478,0.0704,0.0921,2.0536,0.721,0
0.3682,0.1367,0.1336,0.1661,2.4131,0.4234,0
0.2841,0.2669,0.09,0.1021,3.9077,0.8399,0
0.2992,0.1879,0.1065,0.1187,4.4516,0.3862,0
0.479,0.2442,0.1128,0.1292,4.2124,0.4,1
0.353,0.2228,0.095,0.1355,3.8484,0.2625,1
0.4658,0.1208,0.1557,0.1702,5.5604,0.3641,1
0.1147,0.1895,0.082,0.0561,2.1251,0.7485,0
0.146,0.2348,0.0964,0.01,0.2599,0.8527,0
0.1954,0.1471,0.1205,0.128,5.329,0.4602,0
0.3083,0.2744,0.0563,0.1293,3.9032,0.6063,0
0.5074,0.1341,0.126,0.2201,5.7801,0.1743,1
0.2471,0.2596,0.1054,0.1538,2.6797,0.5735,0
0.3053,0.2381,0.0716,0.0798,3.7862,0.681,0
0.3803,0.1471,0.1274,0.1541,4.519,0.3725,1
0.297,0.1984,0.0881,0.0758,3.3303,0.5383,1
0.2597,0.2504,0.1251,0.1437,4.7546,0.5914,0
0.144,0.2704,0.0829,0.0387,1.9121,0.7559,0
0.5586,0.0942,0.1597,0.2275,5.8393,0.3168,1
0.3085,0.3069,0.0711,0.1247,3.3096,0.6008,0
0.1923,0.2247,0.0907,0.0427,3.5816,0.6823,0
0.4613,0.1152,0.1248,0.2215,7.0849,0.3808,1
0.2102,0.106,0.0954,0.1472,2.6584,0.4499,0
0.4105,0.2246,0.06,0.1615,3.6249,0.546,0
0.2455,0.2619,0.0425,0.01,1.9853,0.7882,0
0.4216,0.1667,0.1269,0.1464,4.2539,0.4823,1
0.3059,0.1612,0.1717,0.1172,6.3012,0.48,1
0.289,0.1627,0.0829,0.1617,6.3291,0.4628,1
0.3077,0.1976,0.0774,0.1284,3.3098,0.5925,0
0.3196,0.235,0.104,0.0305,3.7349,0.5152,0
0.0977,0.2668,0.1196,0.0745,3.5588,0.6389,0
0.3703,0.1681,0.1282,0.1795,6.9274,0.3152,1
0.5308,0.1985,0.1487,0.1789,7.2113,0.4759,1
0.3482,0.1849,0.1107,0.1478,2.7987,0.4998,1
0.5186,0.142,0.1234,0.1616,5.27,0.2902,1
0.3594,0.2116,0.1094,0.0941,4.4031,0.5458,0
0.3253,0.1226,0.1112,0.1554,4.4902,0.5136,1
0.4784,0.1461,0.164,0.2027,8.4011,0.3444,1
0.2821,0.1536,0.0683,0.1312,5.0571,0.4951,0
0.1613,0.2014,0.1012,0.1031,1.5073,0.424,0
0.394,0.0727,0.1399,0.1849,5.7782,0.3613,1
0.5139,0.1574,0.128,0.2029,4.7472,0.3011,1
0.3919,0.2185,0.1058,0.1704,5.7201,0.3819,1
0.5424,0.1391,0.1256,0.15,6.1104,0.368,1
0.1301,0.2919,0.0926,0.0699,2.3163,0.8555,0
0.3497,0.286,0.1109,0.1429,3.4909,0.6182,1
0.3648,0.2158,0.1158,0.1454,1.4494,0.6074,1
0.2887,0.1714,0.0911,0.0898,2.362,0.6579,0
0.4235,0.1522,0.1236,0.2092,3.9418,0.5326,0
0.352,0.1449,0.117,0.2134,5.6355,0.4135,1
0.1764,0.2433,0.0691,0.0442,1.4517,0.7724,0
0.2542,0.1501,0.1346,0.1329,4.0887,0.3002,1
0.4356,0.194,0.1448,0.2134,4.6835,0.5326,1
0.452,0.2141,0.1088,0.1273,4.2155,0.4106,1
0.4154,0.1158,0.1146,0.2184,3.6784,0.5373,0
0.4251,0.1014,0.1619,0.1858,6.1732,0.2106,1
0.2922,0.1691,0.1135,0.1955,3.9538,0.5393,1
0.1164,0.2896,0.0632,0.0506,2.0721,0.5688,0
0.2081,0.2964,0.1164,0.1204,1.0017,0.6735,0
0.2825,0.2797,0.1087,0.1399,4.8447,0.3922,1
0.3578,0.1705,0.1384,0.1428,3.947,0.5048,1
0.3138,0.1966,0.0786,0.1392,4.3196,0.6472,0
0.4165,0.1841,0.1477,0.1942,5.4974,0.2697,1
0.2687,0.2081,0.1021,0.1233,3.6645,0.6998,0
0.2714,0.2218,0.0826,0.0845,1.7831,0.7144,0
0.3454,0.1652,0.0971,0.1531,4.7419,0.627,1
0.2258,0.0906,0.0734,0.1726,3.6594,0.5489,1
0.4634,0.1571,0.1276,0.1626,4.7653,0.2881,1
0.1598,0.2358,0.0936,0.0987,2.2335,0.5751,0
0.3423,0.2329,0.0996,0.1436,6.5106,0.5869,1
0.429,0.1735,0.1287,0.1663,4.2841,0.4653,1
0.4324,0.1432,0.0846,0.14,4.1909,0.4826,0
0.1945,0.2404,0.0736,0.0492,0.6753,0.5771,0
0.4209,0.0944,0.1008,0.1469,3.4826,0.3504,1
0.2449,0.151,0.1088,0.135,3.2867,0.5582,0
0.2804,0.2499,0.0847,0.0994,2.6047,0.6332,0
0.3224,0.1916,0.0852,0.1755,3.583,0.3601,1
0.2998,0.2765,0.0721,0.1157,2.2151,0.7141,0
0.4201,0.0746,0.1205,0.1912,4.2983,0.2036,0
0.2947,0.1982,0.0788,0.0982,3.1024,0.649,0
0.4044,0.1768,0.1342,0.1099,4.7204,0.5106,1
0.2514,0.2661,0.0854,0.1579,1.5604,0.5808,0
0.1424,0.273,0.0371,0.0478,1.8208,0.768,0
0.571,0.1922,0.1185,0.1711,5.7035,0.4085,1
0.1913,0.2899,0.1107,0.1091,2.1221,0.7253,0
0.3563,0.1738,0.102,0.1336,4.8584,0.4719,0
0.324,0.2636,0.1336,0.0885,2.1146,0.5606,0
0.4693,0.1113,0.1222,0.1593,6.8458,0.3052,1
0.3257,0.1541,0.1218,0.1166,4.5253,0.5206,1
0.4733,0.1713,0.1675,0.1749,6.4953,0.4179,0
0.3993,0.1081,0.1389,0.2056,6.4649,0.3467,1
0.2879,0.2134,0.0884,0.1404,4.1057,0.5251,0
0.3776,0.2351,0.0718,0.0794,2.1723,0.5597,0
0.4256,0.2014,0.1593,0.1798,7.1063,0.1841,1
0.3648,0.198,0.0937,0.1496,5.8753,0.5281,0
0.4126,0.1631,0.154,0.1637,4.9453,0.3881,1
0.4862,0.1527,0.1437,0.2331,6.6838,0.2391,1
0.4743,0.1081,0.1537,0.1654,7.751,0.137,1
0.3504,0.1285,0.1093,0.2137,5.7272,0.3669,1
0.3148,0.2211,0.0965,0.1274,4.5591,0.5395,0
0.2734,0.2111,0.0848,0.1148,4.3325,0.4864,0
0.2229,0.2513,0.0723,0.0332,0.7431,0.6635,0
0.2695,0.1924,0.1145,0.098,4.6435,0.4732,1
0.3007,0.2618,0.1205,0.0823,4.1263,0.5544,1
0.4175,0.1284,0.1339,0.1677,5.0211,0.3346,1
0.3141,0.2201,0.067,0.1037,1.4752,0.5907,1
0.3391,0.1084,0.1282,0.1274,4.3453,0.4306,1
0.364,0.1982,0.0895,0.0836,4.9818,0.5807,1
0.3563,0.2384,0.124,0.089,4.5173,0.4633,1
0.2587,0.2573,0.0928,0.0916,3.8317,0.6074,0
0.2766,0.1932,0.1104,0.1321,4.9414,0.5741,1
0.1701,0.268,0.1007,0.0927,3.2544,0.5233,0
0.4278,0.2116,0.1195,0.1808,5.0433,0.5342,1
0.327,0.2168,0.0941,0.1986,5.5818,0.5323,1
0.2256,0.2881,0.0583,0.1353,2.5451,0.6811,0
0.3071,0.2741,0.1241,0.0685,2.1849,0.5265,0
0.4001,0.1751,0.123,0.1247,3.9939,0.5226,1
0.4725,0.1034,0.1036,0.1999,4.7883,0.3265,1
0.3593,0.194,0.1374,0.1529,6.4775,0.1958,1
0.3708,0.1934,0.1225,0.1984,7.2411,0.3555,1
0.5724,0.1868,0.14,0.2217,4.969,0.2531,1
0.3836,0.2164,0.1089,0.2165,7.0291,0.4343,0
0.234,0.2515,0.1464,0.1909,5.2054,0.3376,1
0.4957,0.1765,0.1009,0.2162,7.0252,0.3012,1
0.2151,0.2292,0.0807,0.0951,3.7408,0.666,0
0.4927,0.0933,0.1445,0.1848,7.5739,0.3065,1
0.5003,0.1793,0.1622,0.158,5.602,0.2597,1
0.3918,0.1547,0.1355,0.1109,3.6271,0.5193,1
0.4376,0.1902,0.1045,0.1947,4.6853,0.4222,1
0.396,0.1806,0.1541,0.1767,5.4441,0.5135,1
0.5691,0.164,0.1172,0.1813,6.0611,0.1859,1
0.4432,0.1287,0.1574,0.245,7.4455,0.2392,1
0.5245,0.1631,0.1662,0.1947,7.002,0.2629,0
0.3213,0.1098,0.0807,0.0538,2.6952,0.5755,0
0.3685,0.1886,0.1358,0.1816,3.7362,0.3417,1
0.365,0.2611,0.0916,0.077,3.1297,0.3695,1
0.2333,0.3018,0.107,0.0938,3.1588,0.7364,0
0.3209,0.28,0.0415,0.0791,0.0289,0.7265,0
0.2904,0.331,0.077,0.07,0.6865,0.8498,0
0.2644,0.2382,0.0821,0.1201,0.7761,0.7061,1
0.1811,0.2695,0.0897,0.0694,0.6156,0.8265,0
0.4356,0.2082,0.1172,0.1611,5.7757,0.4339,1
0.2415,0.2065,0.1309,0.0989,2.5966,0.5747,0
0.3487,0.1316,0.1433,0.1806,6.261,0.4808,0
0.4884,0.1478,0.1272,0.1204,8.1835,0.3941,1
0.2351,0.1979,0.0992,0.1292,3.7807,0.8265,0
0.253,0.2453,0.1108,0.0607,3.2019,0.4837,0
0.27,0.2236,0.105,0.0936,3.9691,0.471,0
0.1068,0.2161,0.0451,0.0562,1.4424,0.7071,0
0.2901,0.1882,0.0836,0.0959,2.0362,0.4865,0
0.362,0.1908,0.156,0.1635,5.2726,0.5596,1
0.3237,0.2546,0.0703,0.0878,3.4988,0.7076,0
0.3507,0.1696,0.1184,0.1476,4.5406,0.6946,0
0.5222,0.0885,0.1616,0.2043,5.92,0.3481,1
0.3059,0.2564,0.0841,0.0956,3.5033,0.5069,0
0.2896,0.1261,0.0819,0.1472,4.9748,0.3042,0
0.2999,0.2469,0.083,0.1385,2.9039,0.7264,1
0.3466,0.2728,0.1465,0.1482,3.6495,0.4213,0
0.4013,0.2661,0.0919,0.0944,3.1426,0.6418,0
0.5222,0.2047,0.1096,0.1375,5.3371,0.4675,1
0.2165,0.2329,0.0872,0.1391,4.0598,0.5216,0
0.3038,0.2912,0.1336,0.1393,3.5645,0.5497,0
0.4112,0.0587,0.1351,0.1524,6.6621,0.3616,1
0.3711,0.1697,0.1048,0.1656,5.5536,0.4484,0
0.3122,0.241,0.1338,0.0953,4.4398,0.6515,0
0.3432,0.1761,0.1281,0.1808,3.4297,0.581,0
0.5211,0.2003,0.1224,0.2014,6.1533,0.3313,1
0.2765,0.1936,0.0885,0.1014,3.3338,0.4434,1
0.3252,0.1833,0.1469,0.1388,5.0383,0.5294,1
0.3886,0.1433,0.1389,0.165,4.9998,0.171,1
0.3449,0.1652,0.0877,0.1505,5.893,0.4915,0
0.3691,0.1351,0.1012,0.1722,6.579,0.4027,1
0.4288,0.1721,0.1119,0.1392,6.7765,0.2936,1
0.5041,0.0989,0.129,0.167,7.95,0.3162,1
0.2146,0.2641,0.0528,0.1172,2.7232,0.6086,0
0.4902,0.1851,0.1137,0.1848,5.2917,0.3073,1
0.4935,0.1803,0.1314,0.2048,8.3773,0.3404,1
0.4128,0.1476,0.1053,0.1463,4.1802,0.395,1
0.3726,0.1113,0.1568,0.1347,3.5356,0.4994,1
0.4576,0.1507,0.1354,0.1908,7.0551,0.1609,1
0.3376,0.3002,0.1165,0.2239,4.8336,0.4718,1
0.3039,0.2604,0.1141,0.1542,5.1588,0.5514,1
0.4389,0.1526,0.121,0.1497,5.3173,0.3691,1
0.4001,0.1809,0.1406,0.1549,5.497,0.4012,1
0.2943,0.2545,0.0997,0.0156,4.5424,0.6022,0
0.2743,0.1479,0.1108,0.1591,2.4043,0.6046,0
0.4912,0.2107,0.1929,0.2032,5.2542,0.3841,1
0.4262,0.1434,0.1594,0.1698,5.19,0.3528,1
0.4888,0.1553,0.114,0.1332,3.5218,0.3744,1
0.2378,0.2375,0.0946,0.0542,3.4391,0.6138,0
0.5759,0.1869,0.131,0.2096,5.8856,0.2576,1
0.3145,0.1493,0.1317,0.1503,5.7864,0.4506,1
0.3537,0.0889,0.1092,0.1989,6.1773,0.3303,1
0.2329,0.2358,0.0735,0.1068,3.7268,0.6877,0
0.3595,0.0754,0.1437,0.2073,5.3375,0.3512,1
0.2316,0.1938,0.1263,0.1345,3.0465,0.5629,1
0.3234,0.2642,0.1096,0.136,3.4603,0.4626,0
0.1858,0.278,0.0928,0.01,2.7417,0.7979,0
0.217,0.2738,0.0974,0.0569,2.6965,0.5878,0
0.3763,0.1983,0.13,0.1489,4.4244,0.3239,1
0.4066,0.2536,0.1267,0.2106,4.5914,0.4757,1
0.3207,0.2177,0.1005,0.14,2.5778,0.7257,0
0.3502,0.1914,0.1458,0.1526,4.4912,0.4932,1
0.3274,0.1532,0.127,0.1445,5.1658,0.4331,0
0.3887,0.2341,0.1103,0.076,3.9806,0.4864,0
0.3919,0.169,0.1596,0.188,4.7633,0.3772,1
0.4082,0.2856,0.0991,0.0946,3.6614,0.6374,0
0.4701,0.1134,0.1524,0.2923,7.261,0.3472,1
0.3484,0.2686,0.112,0.0939,5.5143,0.5523,1
0.4703,0.195,0.126,0.2255,5.9743,0.5645,1
0.3627,0.1743,0.1088,0.1799,6.6335,0.3998,1
0.3946,0.1801,0.1436,0.146,4.9216,0.2373,1
0.1801,0.2845,0.0629,0.0536,0.0,0.6593,0
0.5173,0.156,0.1832,0.2186,6.401,0.1494,1
0.2621,0.1854,0.1297,0.1304,5.1665,0.4522,1
0.1232,0.2249,0.065,0.0955,2.5986,0.6968,0
0.2478,0.1599,0.1412,0.1845,6.3441,0.4613,1
0.4925,0.0844,0.1463,0.2022,3.4752,0.3206,1
0.2631,0.2532,0.124,0.1076,4.5114,0.653,0
0.3341,0.1453,0.1028,0.1007,4.599,0.4932,1
0.2922,0.167,0.1289,0.155,3.4917,0.4171,1
0.0926,0.2913,0.0672,0.0618,2.1188,0.717,0
0.2319,0.26,0.0946,0.044,3.1451,0.7263,0
0.2735,0.1352,0.0884,0.1281,4.1809,0.4114,1
0.2353,0.2351,0.0973,0.0835,3.4747,0.6843,0
0.5456,0.1496,0.1614,0.1685,7.2752,0.2289,1
0.5974,0.1521,0.167,0.1763,4.6082,0.3788,1
0.4025,0.2257,0.1273,0.1522,5.0469,0.3996,1
0.4744,0.1376,0.1202,0.2211,3.6315,0.3963,1
0.446,0.0549,0.1653,0.2077,7.2649,0.2439,1
0.2289,0.2326,0.094,0.1608,5.4384,0.6224,0
0.3938,0.1462,0.1519,0.1629,4.1227,0.3848,1
0.2949,0.1065,0.1461,0.0998,4.319,0.5779,1
0.394,0.1696,0.1502,0.1772,4.1448,0.4386,1
0.3734,0.2148,0.139,0.1489,4.9931,0.3785,1
0.1173,0.1858,0.0775,0.079,2.9849,0.6393,0
0.3664,0.3192,0.0961,0.0694,2.5588,0.6551,0
0.2747,0.1753,0.1121,0.1223,4.3457,0.497,0
0.2771,0.1862,0.1096,0.1814,5.8168,0.4548,1
0.3075,0.1803,0.1185,0.1253,3.9701,0.6234,0
0.3441,0.1796,0.1354,0.2024,3.8265,0.4507,1
0.341,0.2154,0.0792,0.1585,4.5933,0.6184,0
0.268,0.1473,0.1434,0.0609,5.2375,0.5687,1
0.4503,0.2549,0.1483,0.1596,7.9661,0.2922,1
0.3482,0.1811,0.0875,0.0747,3.8544,0.6391,1
0.3146,0.1996,0.0813,0.1271,2.5096,0.619,0
0.524,0.1824,0.175,0.1726,5.3549,0.5001,1
0.2305,0.3084,0.1241,0.075,1.4909,0.653,0
0.4542,0.2098,0.1522,0.1631,5.4923,0.4503,1
0.481,0.1115,0.1617,0.187,6.5421,0.2951,1
0.2471,0.2447,0.1117,0.0447,3.8871,0.7622,0
0.5148,0.0511,0.1672,0.1751,6.557,0.1682,1
0.3189,0.2073,0.1346,0.1624,5.1811,0.4349,1
0.5218,0.0752,0.1579,0.2328,6.3582,0.2587,1
0.1899,0.2222,0.0908,0.0681,1.2069,0.7568,0
0.2903,0.2055,0.0916,0.0999,4.5558,0.5131,1
0.4807,0.1896,0.1423,0.0973,5.5593,0.3375,1
0.3085,0.1651,0.1544,0.1861,5.1844,0.3936,1
0.5368,0.2195,0.1316,0.1543,6.0827,0.4736,1
0.2424,0.2618,0.0832,0.0586,3.3305,0.6747,0
0.519,0.161,0.16,0.1514,7.2857,0.156,1
0.2839,0.1594,0.0917,0.0772,2.8651,0.6307,0
0.2129,0.2745,0.0796,0.0939,4.6825,0.4638,0
0.5257,0.0901,0.1815,0.2103,7.4633,0.2683,1
0.3691,0.2623,0.1055,0.1019,3.9098,0.5262,1
0.4379,0.2553,0.1264,0.1644,5.3256,0.46,1
0.2265,0.2554,0.076,0.0834,2.9769,0.7935,0
0.2697,0.2141,0.1525,0.2272,6.234,0.3386,1
0.243,0.0746,0.1284,0.0812,3.0895,0.5507,0
0.605,0.1343,0.1413,0.1999,7.7255,0.3866,1
0.3846,0.1983,0.115,0.1867,5.932,0.2812,1
0.4233,0.2341,0.1049,0.1024,3.6624,0.439,0
0.3182,0.1344,0.1319,0.1518,4.1979,0.4217,1
0.5009,0.119,0.1571,0.231,5.8636,0.2675,1
0.4148,0.0805,0.1234,0.1532,3.041,0.3273,1
0.1748,0.2569,0.089,0.1261,3.0864,0.7106,0
0.3529,0.1524,0.1079,0.0335,4.9062,0.5046,0
0.4053,0.2183,0.126,0.1351,3.5274,0.509,1
0.3704,0.2424,0.122,0.1797,3.2972,0.5322,0
0.3302,0.1748,0.0941,0.1643,5.0538,0.639,0
0.405,0.2073,0.1695,0.1614,4.5529,0.5112,1
0.2685,0.2508,0.0671,0.1001,2.4674,0.7162,0
0.3487,0.1996,0.1204,0.0839,4.3594,0.4069,1
0.4054,0.1649,0.1146,0.1417,3.0295,0.5711,0
0.1395,0.2835,0.0652,0.096,1.4445,0.7346,0
0.3211,0.1552,0.0971,0.0868,0.8202,0.6857,0
0.282,0.1563,0.0915,0.1757,1.7094,0.5499,0
0.3049,0.1803,0.101,0.1526,5.6014,0.6141,0
0.3297,0.1966,0.1156,0.0586,5.038,0.6314,1
0.2358,0.247,0.0545,0.1009,3.991,0.6335,0
0.4334,0.1151,0.1819,0.1747,6.8831,0.4256,1
0.4941,0.2211,0.1598,0.2261,4.0014,0.2368,1
0.3384,0.2066,0.1227,0.1463,3.4086,0.5271,0
0.3377,0.2047,0.0781,0.1172,5.5606,0.3901,1
0.3499,0.1987,0.0999,0.1854,6.0455,0.6222,1
0.3848,0.2172,0.1521,0.184,6.3438,0.2894,1
0.2616,0.2407,0.182,0.0853,3.0964,0.4632,0
0.4995,0.1563,0.1723,0.1945,5.237,0.2214,1
0.4123,0.1834,0.1595,0.1973,5.8813,0.4372,1
0.5046,0.1212,0.1241,0.1256,4.2998,0.564,0
0.2711,0.1187,0.0992,0.131,6.0133,0.4818,1
0.2849,0.2008,0.1275,0.1268,4.1231,0.6063,1
0.2367,0.2161,0.073,0.071,3.0924,0.5937,0
0.5898,0.1709,0.1185,0.1219,6.2498,0.341,1
0.0843,0.2642,0.0449,0.0658,1.873,0.8879,0
0.3305,0.2328,0.1236,0.0596,4.2893,0.5272,0
0.4843,0.0971,0.142,0.1599,5.4822,0.243,1
0.4824,0.1491,0.1435,0.1336,5.0416,0.3522,1
0.4253,0.1383,0.1147,0.0896,5.7477,0.538,0
0.5089,0.1751,0.1127,0.1882,4.049,0.3624,1
0.3907,0.0914,0.1175,0.1609,7.0459,0.4607,1
0.4464,0.174,0.1225,0.1672,3.7611,0.3392,1
0.2633,0.124,0.0927,0.1099,4.1647,0.4535,1
0.4223,0.1518,0.1205,0.1473,6.3579,0.4125,1
0.1855,0.2727,0.0653,0.0998,2.5506,0.676,0
0.3386,0.2016,0.1263,0.1369,3.0394,0.6099,0
0.2538,0.1247,0.1292,0.1654,4.862,0.5028,1
0.3826,0.1623,0.0909,0.1711,4.5546,0.444,1
0.0953,0.1906,0.0724,0.0655,1.7765,0.7485,0
0.2974,0.148,0.1372,0.0566,2.7837,0.652,0
0.27,0.1995,0.0936,0.1131,4.2258,0.5519,1
0.2754,0.2238,0.1177,0.1255,3.4118,0.5729,0
0.358,0.2333,0.1023,0.089,5.8457,0.4511,0
0.3482,0.2306,0.1278,0.091,3.5456,0.3358,1
0.3247,0.2278,0.0982,0.1002,2.5264,0.7217,0
0.4681,0.1721,0.112,0.222,4.1978,0.4793,1
0.3755,0.1221,0.1332,0.1547,7.2483,0.3727,1
0.4882,0.1564,0.1279,0.1592,3.4676,0.4648,0
0.1034,0.2,0.0752,0.0312,2.2637,0.8689,0
0.539,0.1036,0.1227,0.2377,6.3528,0.3806,1
0.4623,0.1419,0.1734,0.2256,5.1325,0.348,1
0.3768,0.1562,0.1558,0.1981,4.8186,0.2876,1
0.442,0.294,0.107,0.203,5.5298,0.3385,1
0.4923,0.106,0.1291,0.1624,4.8194,0.1632,1
0.295,0.2292,0.0841,0.0824,2.9182,0.6934,0
0.4597,0.0986,0.1147,0.2313,7.5865,0.4263,1
0.4314,0.1489,0.0949,0.1891,5.6681,0.4671,1
0.4737,0.1434,0.1233,0.1114,4.3307,0.3986,1
0.3173,0.2456,0.0955,0.1304,2.7243,0.5434,0
0.4447,0.1507,0.1008,0.1478,5.0375,0.3434,1
0.2437,0.2299,0.0901,0.1147,2.1725,0.5895,0
0.5153,0.1315,0.1653,0.2,6.2864,0.2981,1
0.0676,0.2067,0.0876,0.01,1.8126,0.675,1
0.3634,0.1582,0.1173,0.1558,6.4198,0.5895,1
0.4015,0.1258,0.11,0.2026,6.4384,0.1776,1
0.2793,0.2286,0.1083,0.1121,1.856,0.5936,0
0.5825,0.1637,0.1496,0.2133,7.587,0.1278,1
0.3441,0.1744,0.1286,0.1931,5.9722,0.4708,1
0.3994,0.1664,0.1634,0.1689,5.2384,0.4186,1
0.5116,0.0793,0.1259,0.1891,5.9113,0.2804,1
0.056,0.2787,0.0168,0.1002,2.3525,0.6567,0
0.355,0.1507,0.1023,0.2214,4.7102,0.4271,0
0.3367,0.2357,0.1161,0.1509,1.7593,0.4889,1
0.259,0.2135,0.135,0.1803,6.2053,0.3472,1
0.1332,0.2451,0.0528,0.0838,2.8037,0.8706,0
0.3789,0.1656,0.0775,0.1303,5.2258,0.5491,0
0.4033,0.1943,0.106,0.1362,3.5221,0.5333,1
0.2685,0.2459,0.0651,0.159,2.9775,0.5967,0
0.3985,0.1814,0.1241,0.1142,4.5387,0.4243,1
0.3506,0.1745,0.1036,0.168,4.255,0.4968,0
0.4131,0.2036,0.1093,0.1476,4.9357,0.6368,1
0.4168,0.1796,0.12,0.1309,5.7231,0.331,1
0.3952,0.164,0.1291,0.1493,5.1626,0.453,1
0.4207,0.0848,0.1415,0.1687,6.7815,0.2538,1
0.5053,0.1803,0.1377,0.19,6.8108,0.1426,1
0.4764,0.1483,0.1267,0.1564,4.1464,0.3655,1
0.4654,0.1885,0.1211,0.1219,4.6914,0.6228,1
0.3631,0.1841,0.1031,0.1988,4.5192,0.4726,1
0.2364,0.1383,0.0867,0.1471,2.9209,0.695,0
0.2537,0.2615,0.0657,0.112,0.0671,0.7079,0
0.4566,0.1848,0.1737,0.1774,5.5289,0.1827,1
0.4655,0.1814,0.1106,0.1786,6.3217,0.2503,0
0.4111,0.1593,0.13,0.2021,5.7377,0.366,1
0.154,0.1977,0.064,0.0263,0.9219,0.8265,0
0.2066,0.2733,0.09,0.1089,3.566,0.5952,0
0.37,0.2157,0.1319,0.1256,5.4911,0.4647,0
0.4151,0.151,0.1044,0.0872,3.6671,0.5817,0
0.5681,0.1151,0.1387,0.1939,5.0491,0.2628,1
0.3473,0.2189,0.1203,0.106,3.5694,0.5718,0
0.1723,0.2557,0.1284,0.0907,4.7758,0.6361,0
0.471,0.1313,0.1689,0.1963,4.8882,0.2898,1
0.6133,0.174,0.1442,0.2346,7.0982,0.2108,1
0.2854,0.1254,0.1108,0.1078,5.324,0.4647,1
0.4598,0.1075,0.1427,0.177,3.7476,0.4631,1
0.2603,0.1763,0.0761,0.0408,2.0683,0.8272,0
0.4862,0.1187,0.1214,0.1562,6.4975,0.4157,1
0.5791,0.2221,0.1526,0.1551,5.3344,0.2991,1
0.4558,0.2176,0.1546,0.1969,6.0308,0.1444,1
0.1039,0.2729,0.0694,0.0761,0.8786,0.8439,0
0.324,0.2047,0.0657,0.1056,2.4925,0.6996,0
0.2929,0.1779,0.1195,0.1131,4.284,0.4698,1
0.3827,0.1944,0.0875,0.1965,4.5573,0.3852,1
0.4694,0.0829,0.1325,0.2198,5.9239,0.1813,1
0.3621,0.1886,0.0916,0.0901,4.7753,0.6238,0
0.2482,0.3026,0.0875,0.1159,0.999,0.7801,0
0.305,0.1781,0.1351,0.1174,1.4902,0.533,0
0.347,0.1544,0.1312,0.1429,5.8933,0.3883,0
0.2246,0.2684,0.0965,0.0643,1.0987,0.8725,0
0.6659,0.1754,0.1454,0.1696,5.1213,0.3194,1
0.3701,0.1755,0.1322,0.1458,3.9172,0.6544,0
0.2159,0.2488,0.1186,0.0842,2.4012,0.6785,1
0.2639,0.2199,0.0982,0.1249,3.7074,0.4618,1
0.1332,0.3389,0.0563,0.01,2.102,0.7477,0
0.465,0.1386,0.1586,0.2092,5.375,0.2609,0
0.4261,0.1495,0.1405,0.1737,5.7322,0.4109,1
0.3535,0.2518,0.1202,0.1638,2.2143,0.5447,0
0.5037,0.1525,0.121,0.1732,6.2599,0.4981,1
0.3467,0.1692,0.0842,0.0947,2.9743,0.6106,1
0.3632,0.1937,0.1526,0.179,5.3822,0.4103,1
0.2862,0.2321,0.0948,0.1484,4.9705,0.4669,1
0.4659,0.1932,0.137,0.1588,5.4616,0.3937,1
0.2943,0.2086,0.1127,0.1118,3.5354,0.6757,0
0.3362,0.1002,0.1046,0.2276,6.1373,0.4281,1
0.3878,0.1919,0.097,0.1151,3.322,0.4804,0
0.4819,0.2149,0.1183,0.159,4.2773,0.3025,1
0.2713,0.1175,0.142,0.1301,5.2931,0.5051,1
0.4473,0.1267,0.1424,0.2233,5.9512,0.2748,1
0.3534,0.1731,0.1154,0.1254,5.9394,0.4553,1
0.3614,0.1769,0.0778,0.1105,4.2287,0.6527,0
0.367,0.184,0.1727,0.1436,4.3858,0.3688,1
0.3169,0.2037,0.1202,0.1477,4.3489,0.4301,1
0.5308,0.1575,0.1574,0.1598,6.6147,0.2596,1
0.196,0.2013,0.074,0.0173,2.3434,0.561,0
0.4622,0.0962,0.1207,0.1865,5.8651,0.388,0
0.2736,0.2066,0.1507,0.071,4.278,0.4338,1
0.0973,0.2375,0.0356,0.0907,0.3131,0.6881,0
0.4112,0.2599,0.1241,0.1921,2.4542,0.4007,1
0.3911,0.2579,0.0967,0.1447,4.3868,0.3953,1
0.3915,0.2773,0.1034,0.1716,4.7051,0.4339,0
